,id,website,phone number,hours
0,ChIJzTnVYMWsB4gRfKjlRFEpZl4,https://big10pub.com/,(608) 251-6375,"['Monday: 11:00 AM – 11:15 PM', 'Tuesday: 11:00 AM – 11:15 PM', 'Wednesday: 11:00 AM – 11:15 PM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 11:00 AM – 11:15 PM']"
1,ChIJmQbAuc-sB4gRa08NR3p15_A,http://www.theredzonemadison.com/,(608) 251-6766,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 6:00 PM – 1:00 AM', 'Friday: 6:00 PM – 1:00 AM', 'Saturday: 6:00 PM – 1:00 AM', 'Sunday: Closed']"
2,ChIJv7KqIcWsB4gRD8r9-uuSKh0,http://sconniebar.com/,(608) 819-8610,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 12:00 AM']"
3,ChIJieKORsasB4gR-lk9tzG9YHI,http://www.librarycafeandbar.com/,(608) 251-1200,"['Monday: 11:00 AM – 3:00 PM', 'Tuesday: 11:00 AM – 3:00 PM', 'Wednesday: 11:00 AM – 3:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
4,ChIJgYdaZ8WsB4gRRTgoP_sYlaE,http://www.namnoodle.com/,(608) 287-0475,"['Monday: 11:00 AM – 9:30 PM', 'Tuesday: 11:00 AM – 9:30 PM', 'Wednesday: 11:00 AM – 9:30 PM', 'Thursday: 11:00 AM – 9:30 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 9:30 PM']"
5,ChIJl1R9f9OsB4gRrBucjzdTwm4,http://rustic-tavern-madison.poi.place/,(608) 256-9538,"['Monday: 6:00 AM – 2:00 AM', 'Tuesday: 6:00 AM – 2:00 AM', 'Wednesday: 6:00 AM – 2:00 AM', 'Thursday: 6:00 AM – 2:00 AM', 'Friday: 6:00 AM – 2:30 AM', 'Saturday: 6:00 AM – 2:30 AM', 'Sunday: 6:00 AM – 12:00 AM']"
6,ChIJyXVx5_etB4gRZ7FwDKG8LOM,http://www.garthsbrewbar.com/,Unknown,"['Monday: Closed', 'Tuesday: 5:00 – 8:00 PM', 'Wednesday: 5:00 – 8:00 PM', 'Thursday: 5:00 – 8:00 PM', 'Friday: 5:00 – 8:00 PM', 'Saturday: 12:00 – 7:00 PM', 'Sunday: 12:00 – 4:00 PM']"
7,ChIJ34eGvs2sB4gRzN-MbSLyiY4,http://www.greenbushbar.net/,(608) 257-2874,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:00 – 8:00 PM', 'Thursday: 4:00 – 8:00 PM', 'Friday: 4:00 – 8:00 PM', 'Saturday: 4:00 – 8:00 PM', 'Sunday: Closed']"
8,ChIJcWKtmNOsB4gROqrgvqCs-8k,http://themasonlounge.com/,(608) 492-3350,"['Monday: Closed', 'Tuesday: 3:00 PM – 12:00 AM', 'Wednesday: 3:00 PM – 12:00 AM', 'Thursday: 3:00 PM – 12:00 AM', 'Friday: 3:00 PM – 1:00 AM', 'Saturday: 3:00 PM – 1:00 AM', 'Sunday: 3:00 – 10:00 PM']"
9,ChIJldbfXcWsB4gRejuhDaSm1l0,http://luckys1313.com/,Unknown,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
10,ChIJCySAP82sB4gREaVS_omtxZE,http://www.buckinghamsmadison.com/,(608) 251-4744,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 1:00 AM', 'Friday: 11:00 AM – 1:00 AM', 'Saturday: 11:00 AM – 1:00 AM', 'Sunday: Closed']"
11,ChIJK4Gjvc2sB4gRqY88_sb3lEY,http://www.theshow608.com/,(608) 819-6622,"['Monday: Closed', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 12:00 – 11:00 PM', 'Sunday: 12:00 – 8:00 PM']"
12,ChIJLz5gojVTBogRAAMbSgf4Xao,http://citybarmadison.com/,(608) 250-2489,"['Monday: 3:00 PM – 2:00 AM', 'Tuesday: 3:00 PM – 2:00 AM', 'Wednesday: 3:00 PM – 2:00 AM', 'Thursday: 3:00 PM – 2:00 AM', 'Friday: 3:00 PM – 2:00 AM', 'Saturday: 3:00 PM – 2:00 AM', 'Sunday: Closed']"
13,ChIJ1VkRxDVTBogR9hsT9LmWhFI,http://www.mondaysbar.com/,(608) 251-1020,"['Monday: 7:00 PM – 2:00 AM', 'Tuesday: 7:00 PM – 2:00 AM', 'Wednesday: 7:00 PM – 2:00 AM', 'Thursday: 7:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:30 AM', 'Saturday: 4:00 PM – 2:30 AM', 'Sunday: Closed']"
14,ChIJn1y6hzhTBogRa11PVODDkQo,http://www.concoursehotel.com/,(608) 257-6000,"['Monday: 4:00 – 11:00 PM', 'Tuesday: 4:00 – 11:00 PM', 'Wednesday: 4:00 – 11:00 PM', 'Thursday: 4:00 – 11:00 PM', 'Friday: 4:00 – 11:00 PM', 'Saturday: 4:00 – 11:00 PM', 'Sunday: 4:00 – 11:00 PM']"
15,ChIJzdxCWzZTBogRXKwnuoDjG0A,http://www.chasersbarandgrille.com/,(608) 588-6825,"['Monday: Closed', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:00 AM', 'Saturday: 12:00 PM – 2:00 AM', 'Sunday: 12:00 PM – 12:00 AM']"
16,ChIJGVuCVjRTBogREUGxwjE1TZo,http://wandosbar.com/,(608) 256-5204,"['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: Closed']"
17,ChIJSyAhRTRTBogRb_QUIdmd4gU,http://www.vintagemadison.com/,(608) 250-0700,"['Monday: 3:00 – 10:00 PM', 'Tuesday: 3:00 – 10:00 PM', 'Wednesday: 3:00 – 10:00 PM', 'Thursday: 3:00 – 10:00 PM', 'Friday: 3:00 – 10:00 PM', 'Saturday: 9:00 AM – 10:00 PM', 'Sunday: 9:00 AM – 10:00 PM']"
18,ChIJWZwz-zRTBogRzEOzAKW66A4,http://www.thedoubleubar.com/,(608) 616-0758,"['Monday: Closed', 'Tuesday: 7:00 PM – 2:00 AM', 'Wednesday: 7:00 PM – 2:00 AM', 'Thursday: 7:00 PM – 2:00 AM', 'Friday: 7:00 PM – 2:00 AM', 'Saturday: 7:00 PM – 2:00 AM', 'Sunday: Closed']"
19,ChIJkytZCT9TBogRJoV_FJw_Vk8,http://thenewparadiselounge.com/,(608) 256-2263,"['Monday: 9:00 AM – 2:00 AM', 'Tuesday: 9:00 AM – 2:00 AM', 'Wednesday: 9:00 AM – 2:00 AM', 'Thursday: 9:00 AM – 2:00 AM', 'Friday: 9:00 AM – 2:30 AM', 'Saturday: 12:00 PM – 2:30 AM', 'Sunday: 12:00 PM – 2:00 AM']"
20,ChIJ39GQIjhTBogRJLq-dYYE5H0,Unknown,(608) 257-5250,"['Monday: 4:00 PM – 2:00 AM', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:30 AM', 'Saturday: 12:00 PM – 2:30 AM', 'Sunday: 5:00 PM – 2:00 AM']"
21,ChIJNQAJWjhTBogRM2K4vjgGxPE,https://www.facebook.com/Silver-Dollar-Tavern-113513578682297/,(608) 255-7548,"['Monday: 8:00 AM – 2:00 AM', 'Tuesday: 8:00 AM – 2:00 AM', 'Wednesday: 8:00 AM – 2:00 AM', 'Thursday: 8:00 AM – 2:00 AM', 'Friday: 8:00 AM – 2:30 AM', 'Saturday: 8:00 AM – 2:30 AM', 'Sunday: Closed']"
22,ChIJL2GPaTZTBogRsaf58CV07N4,https://www.hawksbar.com/,(608) 256-4295,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 12:00 AM']"
23,ChIJXXjjrDdTBogRjpU0eY0v3LE,http://www.redrockmadison.com/,(608) 709-5200,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 8:00 PM – 2:00 AM', 'Friday: 8:00 PM – 2:30 AM', 'Saturday: 8:00 PM – 2:30 AM', 'Sunday: Closed']"
24,ChIJHxgqqEBTBogRJLOAk9gWpBg,http://www.theoldfashioned.com/,(608) 310-4545,"['Monday: 4:00 – 9:00 PM', 'Tuesday: 4:00 – 9:00 PM', 'Wednesday: 4:00 – 9:00 PM', 'Thursday: 4:00 – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 9:00 PM', 'Sunday: Closed']"
25,ChIJm5qwQjZTBogRnh4xpjyDlVA,http://www.dannyspubmadison.com/,(608) 819-6815,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00 PM – 2:00 AM', 'Friday: 5:00 PM – 2:00 AM', 'Saturday: 5:00 PM – 2:00 AM', 'Sunday: Closed']"
26,ChIJDWlcMmtTBogR2VR_OesX--c,http://www.upnorthbarmadison.com/,(608) 250-1730,"['Monday: 2:30 PM – 12:00 AM', 'Tuesday: 2:30 PM – 2:00 AM', 'Wednesday: 2:30 PM – 2:00 AM', 'Thursday: 2:30 PM – 2:00 AM', 'Friday: 2:30 PM – 2:00 AM', 'Saturday: 2:30 PM – 2:00 AM', 'Sunday: 2:30 PM – 12:00 AM']"
27,ChIJS1Mg5DRTBogRF_wkZqCA-r8,https://thechurchkeybar.com/,(608) 259-0444,"['Monday: Closed', 'Tuesday: 7:00 PM – 12:00 AM', 'Wednesday: 5:00 PM – 2:00 AM', 'Thursday: 5:00 PM – 2:00 AM', 'Friday: 5:00 PM – 2:30 AM', 'Saturday: 7:00 PM – 2:30 AM', 'Sunday: Closed']"
28,ChIJT2HHwzdTBogRlFdwuZ5lxAE,http://www.theplazatavern.com/,(608) 255-6592,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 3:00 – 8:00 PM', 'Thursday: 3:00 PM – 1:00 AM', 'Friday: 12:00 PM – 1:00 AM', 'Saturday: 12:00 PM – 1:00 AM', 'Sunday: Closed']"
29,ChIJwzN13jVTBogRLYx80hVI_5Y,http://www.whiskeyjacksmadtown.com/,(608) 819-8881,"['Monday: 12:00 PM – 2:00 AM', 'Tuesday: 12:00 PM – 2:00 AM', 'Wednesday: 12:00 PM – 2:00 AM', 'Thursday: 12:00 PM – 2:00 AM', 'Friday: 12:00 PM – 2:00 AM', 'Saturday: 12:00 PM – 2:00 AM', 'Sunday: 12:00 PM – 2:00 AM']"
30,ChIJ78dBZjVTBogR8mi0uR-KU7I,http://www.thekollegeklub.com/,(608) 257-3611,"['Monday: Closed', 'Tuesday: 8:00 PM – 2:00 AM', 'Wednesday: 8:00 PM – 2:00 AM', 'Thursday: 8:00 PM – 2:00 AM', 'Friday: 2:00 PM – 2:00 AM', 'Saturday: 8:00 PM – 2:00 AM', 'Sunday: 8:00 PM – 12:00 AM']"
31,ChIJyzz8IjhTBogRH6XERPfdfEQ,http://caskandalemadison.com/,(608) 467-9450,"['Monday: 4:00 PM – 2:00 AM', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:30 AM', 'Saturday: 2:00 PM – 2:30 AM', 'Sunday: 5:00 PM – 2:00 AM']"
32,ChIJh-xcVDRTBogRKy1yJ-JMRVY,Unknown,(608) 256-2214,"['Monday: 4:00 PM – 12:00 AM', 'Tuesday: 4:00 PM – 12:00 AM', 'Wednesday: 4:00 PM – 12:00 AM', 'Thursday: 4:00 PM – 12:00 AM', 'Friday: 4:00 PM – 2:30 AM', 'Saturday: 3:00 PM – 2:30 AM', 'Sunday: Closed']"
33,ChIJb0-dUDhTBogRleY5G4w5iPA,https://ivoryroompianobar.net/madison/,(608) 467-2404,"['Monday: Closed', 'Tuesday: 8:00 PM – 12:00 AM', 'Wednesday: 7:00 PM – 1:30 AM', 'Thursday: 7:00 PM – 2:00 AM', 'Friday: 7:00 PM – 2:00 AM', 'Saturday: 7:00 PM – 2:00 AM', 'Sunday: Closed']"
34,ChIJNcJKTTBTBogRwj1bYwHz7-A,http://www.echotapmadison.com/,(608) 256-6928,"['Monday: 3:00 – 9:00 PM', 'Tuesday: 3:00 – 9:00 PM', 'Wednesday: 3:00 – 9:00 PM', 'Thursday: 3:00 – 9:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 9:00 PM']"
35,ChIJkzZPNjlTBogRRMWLLhWobrE,http://www.shamrockbarandgrille.com/,(608) 259-8480,"['Monday: 3:00 PM – 2:00 AM', 'Tuesday: 3:00 PM – 2:00 AM', 'Wednesday: 3:00 PM – 2:00 AM', 'Thursday: 3:00 PM – 2:00 AM', 'Friday: 3:00 PM – 2:30 AM', 'Saturday: 3:00 PM – 2:30 AM', 'Sunday: 10:00 AM – 2:00 AM']"
36,ChIJ24AzkT9TBogRn9hBjZOdXCs,https://www.argusbargrille.com/,(608) 256-4141,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00 PM – 2:00 AM', 'Thursday: 5:00 PM – 2:00 AM', 'Friday: 5:00 PM – 2:30 AM', 'Saturday: 1:00 PM – 2:30 AM', 'Sunday: 1:00 PM – 2:00 AM']"
37,ChIJ7fGtsDdTBogRdyAW78Q50Lo,https://macksirishpub.com/,(608) 256-6071,"['Monday: 11:00 AM – 2:00 AM', 'Tuesday: 11:00 AM – 2:00 AM', 'Wednesday: 11:00 AM – 2:00 AM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:30 AM', 'Saturday: 11:00 AM – 2:30 AM', 'Sunday: 12:00 PM – 2:00 AM']"
38,ChIJmTeg0hRTBogRC7fy0jNDilo,http://www.comebackintavern.com/,(608) 258-8619,"['Monday: 3:00 – 11:00 PM', 'Tuesday: 3:00 PM – 2:00 AM', 'Wednesday: 3:00 PM – 2:00 AM', 'Thursday: 3:00 PM – 2:00 AM', 'Friday: 3:00 PM – 2:00 AM', 'Saturday: 8:00 AM – 2:00 AM', 'Sunday: 8:00 AM – 2:00 AM']"
39,ChIJm-wkxzVTBogRszaOSciO9Dk,https://www.buffalowildwings.com/en/locations/detail/414/?utm_source=google&utm_medium=organic&utm_campaign=rio,(608) 255-9464,"['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 10:00 PM']"
40,ChIJJxyDjjhTBogRoaXIlEj_rL0,https://www.thecooperstavern.com/,(608) 256-1600,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 9:00 PM']"
41,ChIJu1oDoM2sB4gRe_cq14K_2YY,https://locations.qdoba.com/us/wi/madison/2-n-park-st.html,(608) 251-0238,"['Monday: 10:30 AM – 10:00 PM', 'Tuesday: 10:30 AM – 10:00 PM', 'Wednesday: 10:30 AM – 10:00 PM', 'Thursday: 10:30 AM – 10:00 PM', 'Friday: 10:30 AM – 3:00 AM', 'Saturday: 10:30 AM – 3:00 AM', 'Sunday: 10:30 AM – 10:00 PM']"
42,ChIJF3H4lj9TBogRqUGeH4uxna8,http://www.therigbypub.com/,(608) 442-1112,"['Monday: 6:00 PM – 2:00 AM', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:30 AM', 'Saturday: 12:00 PM – 2:30 AM', 'Sunday: 12:00 PM – 2:00 AM']"
43,ChIJAyWDx2tTBogRtlWv_fF2OpU,http://www.thebrassringmadison.com/,(608) 256-9359,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 12:00 PM – 12:00 AM']"
44,ChIJ8eGrl25TBogRj3Z45jvuicA,http://www.madison-tap.com/,(608) 478-0188,"['Monday: Closed', 'Tuesday: 4:00 – 9:00 PM', 'Wednesday: 4:00 – 9:00 PM', 'Thursday: 4:00 – 9:00 PM', 'Friday: 4:00 – 10:00 PM', 'Saturday: 4:00 – 10:00 PM', 'Sunday: 4:00 – 9:00 PM']"
45,ChIJIzc8hEBTBogR9x3W-u1TcPk,https://enovinodowntown.com/,(608) 455-0663,"['Monday: 4:00 PM – 12:00 AM', 'Tuesday: 4:00 PM – 12:00 AM', 'Wednesday: 4:00 PM – 12:00 AM', 'Thursday: 4:00 PM – 12:00 AM', 'Friday: 4:00 PM – 1:00 AM', 'Saturday: 4:00 PM – 1:00 AM', 'Sunday: 4:00 PM – 12:00 AM']"
46,ChIJtdZTwW5TBogRW7tsMUEDdco,https://www.facebook.com/LJs-Sports-Tavern-Grill-1758815131054063/,(608) 286-1951,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 12:00 AM']"
47,ChIJJUNd1D9TBogR7S7B_A3eMcE,http://tempestoysterbar.com/,(608) 258-1443,"['Monday: 4:00 – 10:00 PM', 'Tuesday: 4:00 – 10:00 PM', 'Wednesday: 4:00 – 10:00 PM', 'Thursday: 4:00 – 10:00 PM', 'Friday: 4:00 – 10:00 PM', 'Saturday: 4:00 – 10:00 PM', 'Sunday: Closed']"
48,ChIJEyqksthTBogRkik5oMCE1Yo,https://www.settledownmadison.com/,(608) 442-6335,"['Monday: Closed', 'Tuesday: 11:30 AM – 2:00 PM, 4:00 – 10:00 PM', 'Wednesday: 11:30 AM – 2:00 PM, 4:00 – 10:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 4:00 – 11:00 PM', 'Friday: 11:30 AM – 2:30 PM, 4:00 – 11:30 PM', 'Saturday: 11:30 AM – 2:30 PM, 4:00 – 11:30 PM', 'Sunday: 10:00 AM – 2:30 PM']"
49,ChIJ27QEkEhTBogRwIFab0yR4LM,https://www.theedgewater.com/dining-at-the-edgewater/augies-tavern/,(608) 535-8233,"['Monday: 4:00 – 10:00 PM', 'Tuesday: 4:00 – 10:00 PM', 'Wednesday: 4:00 – 10:00 PM', 'Thursday: 4:00 – 10:00 PM', 'Friday: 4:00 – 10:00 PM', 'Saturday: 9:00 AM – 10:00 PM', 'Sunday: 9:00 AM – 10:00 PM']"
50,ChIJYd_bPDhTBogRhg8ae4FzUEw,http://theiconmadison.com/,(608) 256-3000,"['Monday: Closed', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 PM – 2:00 AM', 'Saturday: 10:00 AM – 2:00 AM', 'Sunday: 3:00 – 10:00 PM']"
51,ChIJ4SiddXJTBogRLYW-_HeD13o,https://wiscobar.com/,Unknown,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 4:00 PM – 12:00 AM', 'Friday: 4:00 PM – 2:00 AM', 'Saturday: 1:00 PM – 2:00 AM', 'Sunday: 1:00 PM – 12:00 AM']"
52,ChIJrcpKoDVTBogRa_lrX6JIbaw,https://statestreetbrats.com/,(608) 255-5544,"['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 2:00 AM', 'Wednesday: 11:00 AM – 2:00 AM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 11:00 AM – 10:00 PM']"
53,ChIJTbtHlj9TBogRykLQlTNLRBY,http://www.madurocigarbar.com/,(608) 294-9371,"['Monday: 4:00 PM – 2:00 AM', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 2:00 PM – 2:30 AM', 'Saturday: 2:00 PM – 2:30 AM', 'Sunday: 2:00 PM – 2:00 AM']"
54,ChIJS-sgezRTBogRMMQhlZ9JNes,http://www.thegritty.com/,(608) 251-2521,"['Monday: 11:00 AM – 1:30 AM', 'Tuesday: 11:00 AM – 1:30 AM', 'Wednesday: 11:00 AM – 1:30 AM', 'Thursday: 11:00 AM – 1:30 AM', 'Friday: 11:00 AM – 1:30 AM', 'Saturday: 10:00 AM – 1:30 AM', 'Sunday: 10:00 AM – 1:30 AM']"
55,ChIJsU2pVn9TBogRAo-wNTy8Pog,Unknown,(608) 286-1991,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:00 – 11:00 PM', 'Thursday: 4:00 – 11:00 PM', 'Friday: 4:00 PM – 1:00 AM', 'Saturday: 3:00 PM – 1:00 AM', 'Sunday: 3:00 – 8:00 PM']"
56,ChIJgbU3_2hTBogR-AmAi2EJKOI,http://www.robinroombar.com/,(608) 665-3117,"['Monday: 4:00 PM – 2:00 AM', 'Tuesday: 4:00 PM – 2:00 AM', 'Wednesday: 4:00 PM – 2:00 AM', 'Thursday: 4:00 PM – 2:00 AM', 'Friday: 4:00 PM – 2:00 AM', 'Saturday: 4:00 PM – 2:00 AM', 'Sunday: 4:00 PM – 2:00 AM']"
57,ChIJPyrWxj9TBogRF2JT9oRyZ3Y,http://madisonsdowntown.com/,(608) 229-0900,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00 PM – 12:00 AM', 'Thursday: 5:00 PM – 12:00 AM', 'Friday: 5:00 PM – 12:00 AM', 'Saturday: 5:00 PM – 12:00 AM', 'Sunday: Closed']"
58,ChIJOdlj2z9TBogRlBHGsiRveac,Unknown,Unknown,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
59,ChIJBU15oT9TBogRab0MYkIB2I4,http://www.tipsycowmadison.com/,(608) 287-1455,"['Monday: Closed', 'Tuesday: 12:00 – 9:00 PM', 'Wednesday: 12:00 – 9:00 PM', 'Thursday: 12:00 – 9:00 PM', 'Friday: 12:00 – 10:00 PM', 'Saturday: 12:00 – 10:00 PM', 'Sunday: Closed']"
